# text	codes
万古长存	wo gj vs cd
万古长青	wo gj vs ql
万吨	wo dd
万国来朝	wo gu lx va
万壑争流	wo he ii lb
万壑千岩	wo he qc yo
万头攒动	wo tt zo dq
万家灯火	wo jw di hu
万寿无疆	wo ut wj jg
万岁	wo sk
万年	wo nc
万年历	wo nc ln
万幸	wo xl
万应灵丹	wo yl ll do
万念俱灰	wo nc jj hk
万恶	wo ee
万恶之源	wo ee in yh
万无一失	wo wj yn un
万有引力	wo yt ym ln
万木争荣	wo mj ii rq
万死一生	wo sn yn ui
万死不辞	wo sn bj cn
万民	wo mm
万水千山	wo uk qc uo
万法归宗	wo fy gk zq
万福	wo fj
万端	wo dh
万箭攒心	wo jc zo xm
万箭穿心	wo jc vh xm
万籁俱寂	wo lx jj jn
万米	wo mn
万紫千红	wo zn qc hq
万缕千丝	wo lk qc sn
万能	wo ni
万能键	wo ni jc
万般无奈	wo bo wj nx
万般皆下品	wo bo jv xw pm
万花筒	wo hw tq
万语千言	wo yj qc yo
万象	wo xg
万象更新	wo xg gi xm
万贯	wo gh
万贯家财	wo gh jw cx
万里	wo ln
万里之遥	wo ln in ya
万里挑一	wo ln tr yn
万里无云	wo ln wj yd
万里长城	wo ln vs vi
万金	wo jm
万难	wo no
万马奔腾	wo my bz ti
万马齐喑	wo my qn ym
丈	is#9 / is;y
丈二和尚	is ah he us
丈二和尚摸不着头脑	is ah he us mu bj ia tt na
丈二金刚	is ah jm gs
丈人	is rz
丈八蛇矛	is by ue ma
丈夫	is fj
丈母娘	is mj ng
丈量	is lg
三	so / so;m
三七	so qn
三七二十一	so qn ah un yn
三七开	so qn kx
三万	so wo
三三两两	so so lg lg
三下五除二	so xw wj vj ah
三不沾	so bj io
三个	so ge
三个人	so ge rz
三个半	so ge bo
三个和尚没水吃	so ge he us mp uk vn
三个多小时	so ge du xr un
三个多月	so ge du yf
三个多钟	so ge du iq
三个字	so ge zn
三个小时	so ge xr un
三个星期	so ge xl qn
三个月	so ge yf
三个臭皮匠	so ge vt pn jg
三个钟	so ge iq
三个钟头	so ge iq tt
三九	so jb
三五天	so wj tc
三五年	so wj nc
三五成群	so wj vi qd
三亚	so yy
三人	so rz
三人成虎	so rz vi hj
三人行	so rz xl
三从四德	so cq sn de
三代	so dx
三令五申	so ll wj uz
三伏天	so fj tc
三位一体	so wp yn tn
三八	so by
三六九等	so lb jb di
三分	so fz
三分之一	so fz in yn
三分之二	so fz in ah
三分天下	so fz tc xw
三分钟	so fz iq
三匹	so pn
三十	so un
三十六计	so un lb jn
三十年	so un nc
三十年河东	so un nc he dq
三十年河西	so un nc he xn
三十而立	so un ah ln
三千	so qc
三句话	so jj hw
三句话不离本行	so jj hw bj ln bz hs
三周	so it
三呼万岁	so hj wo sk
三四个月	so sn ge yf
三四十	so sn un
三四天	so sn tc
三四岁	so sn sk
三四年	so sn nc
三四月份	so sn yf fz
三四点	so sn dc
三四点钟	so sn dc iq
三围	so wp'
三国	so gu
三国志	so gu in
三国演义	so gu yo yn
三国鼎立	so gu dl ln
三堂会审	so ts hk uz
三天	so tc
