# text	codes
Biu	bb
万木争荣	wmir / womjiirq
万死一生	wsyu / wosnynui
万死不辞	wsbc / wosnbjcn
万民	womm
万水千山	wuqu / woukqcuo
万法归宗	wfgz / wofygkzq
万福	wofj
万端	wodh
万箭攒心	wjzx / wojczoxm
万箭穿心	wjvx / wojcvhxm
万籁俱寂	wljj / wolxjjjn
万米	womn
万紫千红	wzqh' / woznqchq
万缕千丝	wlqs / wolkqcsn
万能	woni
万能键	wnjc / wonijc
万般无奈	wbwn / wobowjnx
万般皆下品	wbjp / wobojvxwpm
万花筒	whtq / wohwtq
万语千言	wyqy / woyjqcyo
万象	woxg
万象更新	wxgx / woxggixm
万贯	wogh
万贯家财	wgjc / woghjwcx
万里	woln
万里之遥	wliy / wolninya
万里挑一	wlty / wolntryn
万里无云	wlwy / wolnwjyd
万里长城	wlvv / wolnvsvi
万金	wojm
万难	wono
万马奔腾	wmbt / womybzti
万马齐喑	wmqy / womyqnym
丈	isy / is#6
丈二和尚	iahu' / isahheus
丈二和尚摸不着头脑	iahn / isahheusmubjiattna
丈二金刚	iajg / isahjmgs
丈人	isrz
丈八蛇矛	ibum / isbyuema
丈夫	isfj
丈母娘	imng / ismjng
丈量	islg
三	s' / so / som
三七	soqn
三七二十一	sqay / soqnahunyn
三七开	sqkx' / soqnkx
三万	sowo
三三两两	ssll / sosolglg
三下五除二	sxwa / soxwwjvjah
三不沾	sbio / sobjio
三个	soge
三个人	sgrz / sogerz
三个半	sgbo / sogebo
三个和尚没水吃	sghv / sogeheusmpukvn
三个多小时	sgdu / sogeduxrun
三个多月	sgdy / sogeduyf
三个多钟	sgdi / sogeduiq
三个字	sgzn / sogezn
三个小时	sgxu / sogexrun
三个星期	sgxq / sogexlqn
三个月	sgyf / sogeyf
三个臭皮匠	sgvj / sogevtpnjg
三个钟	sgiq / sogeiq
三个钟头	sgit / sogeiqtt
三九	sojb
三五天	swtc / sowjtc
三五年	swnc / sowjnc
三五成群	swvq / sowjviqd
三亚	soyy
三人	sorz
三人成虎	srvh / sorzvihj
三人行	srxl / sorzxl
三从四德	scsd / socqsnde
三代	sodx
三令五申	slwu / sollwjuz
三伏天	sftc / sofjtc
三位一体	swyt / sowpyntn
三八	soby
三六九等	sljd / solbjbdi
三分	sofz
三分之一	sfiy / sofzinyn
